Country,Overall,Talent,Infrastructure,Operating Environment,Research,Development,Government Strategy,Commercial,Scale,Intensity
France,28.0,25.0,31.0,70.0,18.0,31.0,59.0,19.0,23.0,47.0
Germany,27.0,35.0,32.0,83.0,16.0,14.0,59.0,17.0,23.0,39.0
Finland,19.0,17.0,33.0,81.0,9.0,13.0,39.0,13.0,12.0,51.0
Spain,18.0,17.0,26.0,74.0,6.0,10.0,66.0,7.0,15.0,29.0
Luxembourg,17.0,21.0,35.0,69.0,9.0,7.0,35.0,8.0,9.0,53.0
Denmark,16.0,17.0,25.0,75.0,7.0,5.0,44.0,9.0,11.0,37.0
Ireland,16.0,13.0,26.0,69.0,5.0,14.0,31.0,12.0,10.0,39.0
Italy,16.0,16.0,23.0,100.0,7.0,2.0,53.0,5.0,13.0,24.0
Sweden,16.0,17.0,26.0,88.0,8.0,5.0,23.0,12.0,10.0,39.0
Belgium,14.0,16.0,20.0,66.0,6.0,6.0,27.0,9.0,10.0,29.0
Austria,13.0,15.0,22.0,61.0,9.0,3.0,33.0,6.0,9.0,31.0
Portugal,13.0,10.0,22.0,84.0,4.0,8.0,24.0,7.0,9.0,26.0
Estonia,12.0,9.0,19.0,59.0,4.0,0.0,29.0,13.0,6.0,39.0
Malta,12.0,6.0,21.0,68.0,3.0,9.0,35.0,6.0,8.0,29.0
Czech Republic,11.0,10.0,19.0,47.0,4.0,3.0,45.0,4.0,8.0,23.0
Poland,11.0,11.0,23.0,64.0,3.0,4.0,31.0,4.0,9.0,19.0
Slovenia,11.0,8.0,22.0,76.0,5.0,0.0,28.0,5.0,7.0,26.0
Hungary,10.0,7.0,23.0,57.0,2.0,3.0,26.0,5.0,8.0,18.0
Greece,9.0,10.0,20.0,27.0,5.0,3.0,17.0,7.0,6.0,21.0
Croatia,9.0,6.0,16.0,50.0,2.0,0.0,2.0,16.0,7.0,19.0
Lithuania,9.0,6.0,19.0,58.0,2.0,0.0,34.0,3.0,7.0,18.0
Romania,8.0,5.0,22.0,66.0,1.0,7.0,18.0,1.0,7.0,12.0
Bulgaria,8.0,6.0,18.0,50.0,2.0,0.0,35.0,1.0,7.0,15.0
Slovakia,6.0,7.0,18.0,58.0,2.0,0.0,0.0,4.0,5.0,13.0
Latvia,5.0,5.0,19.0,50.0,2.0,0.0,5.0,1.0,4.0,12.0
