Country,Overall,Talent,Infrastructure,Operating Environment,Research,Development,Government Strategy,Commercial,Scale,Intensity,location,latitude,longitude
France,28.0,25.0,31.0,70.0,18.0,31.0,59.0,19.0,23.0,47.0,France,46.603354,1.8883335
Germany,27.0,35.0,32.0,83.0,16.0,14.0,59.0,17.0,23.0,39.0,Deutschland,51.1638175,10.4478313
Finland,19.0,17.0,33.0,81.0,9.0,13.0,39.0,13.0,12.0,51.0,Suomi / Finland,63.2467777,25.9209164
Spain,18.0,17.0,26.0,74.0,6.0,10.0,66.0,7.0,15.0,29.0,España,39.3260685,-4.8379791
Luxembourg,17.0,21.0,35.0,69.0,9.0,7.0,35.0,8.0,9.0,53.0,Lëtzebuerg,49.8158683,6.1296751
Denmark,16.0,17.0,25.0,75.0,7.0,5.0,44.0,9.0,11.0,37.0,Danmark,55.670249,10.3333283
Ireland,16.0,13.0,26.0,69.0,5.0,14.0,31.0,12.0,10.0,39.0,Éire / Ireland,52.865196,-7.9794599
Italy,16.0,16.0,23.0,100.0,7.0,2.0,53.0,5.0,13.0,24.0,Italia,42.6384261,12.674297
Sweden,16.0,17.0,26.0,88.0,8.0,5.0,23.0,12.0,10.0,39.0,Sverige,59.6749712,14.5208584
Belgium,14.0,16.0,20.0,66.0,6.0,6.0,27.0,9.0,10.0,29.0,België / Belgique / Belgien,50.6402809,4.6667145
Austria,13.0,15.0,22.0,61.0,9.0,3.0,33.0,6.0,9.0,31.0,Österreich,47.59397,14.12456
Portugal,13.0,10.0,22.0,84.0,4.0,8.0,24.0,7.0,9.0,26.0,Portugal,39.6621648,-8.1353519
Estonia,12.0,9.0,19.0,59.0,4.0,0.0,29.0,13.0,6.0,39.0,Eesti,58.7523778,25.3319078
Malta,12.0,6.0,21.0,68.0,3.0,9.0,35.0,6.0,8.0,29.0,Malta,35.8885993,14.4476911
Czech Republic,11.0,10.0,19.0,47.0,4.0,3.0,45.0,4.0,8.0,23.0,Česko,49.7439047,15.3381061
Poland,11.0,11.0,23.0,64.0,3.0,4.0,31.0,4.0,9.0,19.0,Polska,52.215933,19.134422
Slovenia,11.0,8.0,22.0,76.0,5.0,0.0,28.0,5.0,7.0,26.0,Slovenija,46.1199444,14.8153333
Hungary,10.0,7.0,23.0,57.0,2.0,3.0,26.0,5.0,8.0,18.0,Magyarország,47.1817585,19.5060937
Greece,9.0,10.0,20.0,27.0,5.0,3.0,17.0,7.0,6.0,21.0,Ελλάς,38.9953683,21.9877132
Croatia,9.0,6.0,16.0,50.0,2.0,0.0,2.0,16.0,7.0,19.0,Hrvatska,45.3658443,15.6575209
Lithuania,9.0,6.0,19.0,58.0,2.0,0.0,34.0,3.0,7.0,18.0,Lietuva,55.3500003,23.7499997
Romania,8.0,5.0,22.0,66.0,1.0,7.0,18.0,1.0,7.0,12.0,România,45.9852129,24.6859225
Bulgaria,8.0,6.0,18.0,50.0,2.0,0.0,35.0,1.0,7.0,15.0,България,42.6073975,25.4856617
Slovakia,6.0,7.0,18.0,58.0,2.0,0.0,0.0,4.0,5.0,13.0,Slovensko,48.7411522,19.4528646
Latvia,5.0,5.0,19.0,50.0,2.0,0.0,5.0,1.0,4.0,12.0,Latvija,56.8406494,24.7537645
